ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,IncomeScore,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,NeighborhoodScore,Rank
60643,38.3,80.95,60.666666666666664,0.17566666666666667,0.18033333333333332,0.24433333333333332,0.39966666666666667,50226.0,12.078737440104062,3.692333333333333,2617,2979,14749,10772,-2.3030707507453094,35.0
60644,31.65,69.2,159.0,0.352,0.224,0.231,0.193,41244.0,38.551061972650565,2.9130000000000003,18023,5409,18241,22573,-8.031100952128734,46.0
60645,57.7,81.5,38.0,0.167,0.207,0.301,0.325,45659.0,8.322565102170437,3.617,565,1217,7758,3245,-1.345494894671905,27.0
60646,54.2,82.0,28.0,0.116,0.136,0.214,0.533,26050.0,10.748560460652591,4.045,114,583,3215,989,-1.7350900053875404,32.0
60646,54.2,82.0,18.0,0.078,0.105,0.187,0.63,26050.0,6.90978886756238,4.291,114,583,3215,989,-0.9427479806225718,23.0
60647,61.0,94.5,19.0,0.123,0.119,0.265,0.493,75516.0,2.5160230944435615,4.005,3136,5645,27769,14867,-0.37721336857250193,4.0
60649,41.2,65.75,113.0,0.336,0.237,0.286,0.141,47392.0,23.84368669817691,2.896,3793,4339,21983,18674,-4.959009339116506,44.0
60651,11.05,79.1,159.0,0.352,0.224,0.231,0.193,49851.0,31.89504724077752,2.9130000000000003,15903,5063,19715,21989,-6.690852381738801,45.0
60651,11.05,79.1,51.0,0.25,0.24,0.28,0.23,49851.0,10.230486850815431,3.24,15903,5063,19715,21989,-2.325256645575469,36.0
60652,49.3,85.25,87.0,0.144,0.162,0.338,0.356,40969.0,21.23556835656228,3.762,388,1502,10329,4949,-3.95424207250611,41.0
60653,55.7,89.2,23.0,0.4135,0.16949999999999998,0.2125,0.20500000000000002,29106.0,7.902150759293617,2.7969999999999997,3359,2762,13319,11916,-1.4847991944920171,30.0
60655,67.1,82.7,19.0,0.085,0.104,0.234,0.577,28712.0,6.617442184452493,4.218,215,805,3379,1424,-0.863933928352279,21.0
60657,54.2,82.0,31.0,0.104,0.109,0.284,0.502,68859.0,4.501953266820604,4.077,774,1686,16221,4301,-0.6006569152703738,11.0
60659,68.0,83.8,12.0,0.177,0.166,0.269,0.387,37947.0,3.1623053205787017,3.686,560,1292,7781,3300,-0.2704734233036614,2.0
60660,69.2,83.1,23.0,0.189,0.191,0.292,0.328,41326.0,5.5655035570827085,3.5700000000000003,782,1511,7556,4019,-0.774697979827184,14.0
