ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,IncomeScore,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,NeighborhoodScore,Rank
60646,54.20,82.00,18.0,0.08,0.11,0.19,0.63,26050.00,6.91,5.11,114.0,583.0,3215.0,989.0,-0.95,25
60647,61.00,94.50,19.0,0.12,0.12,0.27,0.49,75516.00,2.52,4.76,3136.0,5645.0,27769.0,14867.0,-0.33,3
60649,41.20,65.75,113.0,0.34,0.24,0.29,0.14,47392.00,23.84,3.32,3793.0,4339.0,21983.0,18674.0,-4.91,56
60651,11.05,79.10,159.0,0.35,0.22,0.23,0.19,49851.00,31.90,3.34,15903.0,5063.0,19715.0,21989.0,-6.63,57
60651,11.05,79.10,51.0,0.25,0.24,0.28,0.23,49851.00,10.23,3.75,15903.0,5063.0,19715.0,21989.0,-2.27,44
60652,49.30,85.25,87.0,0.14,0.16,0.34,0.36,40969.00,21.24,4.46,388.0,1502.0,10329.0,4949.0,-3.95,53
60653,55.70,89.20,23.0,0.41,0.17,0.21,0.21,29106.00,7.90,3.21,3359.0,2762.0,13319.0,11916.0,-1.46,40
60654,54.20,82.00,,,,,,,6.76,4.30,168.0,1229.0,8768.0,2661.0,-1.03,28
60655,67.10,82.70,19.0,0.09,0.10,0.23,0.58,28712.00,6.62,5.03,215.0,805.0,3379.0,1424.0,-0.87,22
60656,54.20,82.00,,,,,,,6.76,4.30,117.0,630.0,2957.0,1192.0,-0.99,27
60657,54.20,82.00,31.0,0.10,0.11,0.28,0.50,68859.00,4.50,4.86,774.0,1686.0,16221.0,4301.0,-0.59,11
60659,68.00,83.80,12.0,0.18,0.17,0.27,0.39,37947.00,3.16,4.34,560.0,1292.0,7781.0,3300.0,-0.27,2
60660,69.20,83.10,23.0,0.19,0.19,0.29,0.33,41326.00,5.57,4.19,782.0,1511.0,7556.0,4019.0,-0.77,17
60661,54.20,82.00,,,,,,,6.76,4.30,46.0,236.0,2755.0,664.0,-0.98,26
60699,54.20,82.00,,,,,,,6.76,4.30,1820.0,2492.0,14374.5,7482.5,-1.13,31
60701,54.20,82.00,,,,,,,6.76,4.30,1820.0,2492.0,14374.5,7482.5,-1.13,32
60707,54.20,82.00,,,,,,,6.76,4.30,1820.0,2492.0,14374.5,7482.5,-1.13,33
60827,50.80,95.00,,,,,,,6.76,4.30,1820.0,2492.0,14374.5,7482.5,-1.08,30
