"ZIP","COOK_COUNTY_MUNICIPALITY","MORTGAGE_2016","MORTGAGE_2017","MORTGAGE_2018","MORTGAGE_2019","MORTGAGE_2020","MORTGAGE_2021","MORTGAGE_2022","MORTGAGE_2023","FORCLOSURE_2016","FORCLOSURE_2017","FORCLOSURE_2018","FORCLOSURE_2019","FORCLOSURE_2020","FORCLOSURE_2021","FORCLOSURE_2022","FORCLOSURE_2023","SINGLE_FAMILY","CONDOMINIUM","BUILDING_2TO4","BUILDING_5PLUS","ALL_RESIDENTIAL","SALES_2016","SALES_2017","SALES_2018","SALES_2019","SALES_2020","SALES_2021","SALES_2022","SALES_2023","OWNER_OCCUPIED","RENTER_OCCUPIED","TOTAL_HOUSEHOLDS","OWNER_OCCUPIED_COST_BURDENED","RENTER_OCCUPIED_COST_BURDENED","ALL_COST_BURDENED","SALE_2019"
"60133",Hanover Park,1068,998,913,981,1284,1776,928,597,123,119,100,79,26,9,75,50,0.76,0.06,0.02,0.16,1.00,260,271,256,,231,244,245,153,0.75,0.25,11113,0.23,0.52,0.30,207
"60426",Harvey,84,72,104,85,75,190,249,248,112,114,84,65,29,17,45,36,0.74,,0.15,0.11,1.00,158,151,186,,121,212,272,223,0.50,0.50,7217,0.25,0.56,0.40,159
"60706",Harwood Heights,264,221,179,221,273,356,180,93,15,12,16,9,5,1,11,4,0.47,0.12,0.08,0.33,1.00,87,87,69,,90,95,88,47,0.59,0.41,3583,0.26,0.44,0.33,64
"60429",Hazel Crest,320,296,251,290,257,524,483,409,122,117,94,102,40,23,83,47,0.85,0.10,0.01,0.03,1.00,232,262,200,,140,260,259,198,0.67,0.33,4670,0.37,0.53,0.42,206
"60457",Hickory Hills,402,303,311,332,467,580,282,200,29,30,28,25,9,8,22,15,0.60,0.15,0.02,0.23,1.00,145,140,144,,150,182,122,100,0.73,0.27,5352,0.27,0.50,0.33,154
"60162",Hillside,195,183,179,199,194,314,204,161,44,40,27,33,11,6,28,18,0.61,0.12,0.03,0.24,1.00,94,116,98,,58,102,79,78,0.61,0.39,2961,0.29,0.53,0.38,99
"60521",Hinsdale,1085,775,684,819,1283,1424,687,336,24,24,12,16,6,2,10,7,1.00,,,,1.00,52,53,59,,51,82,60,25,0.89,0.11,5744,0.20,0.38,0.22,36
"60169",Hoffman Estates,2087,1611,1373,1619,2331,3101,1220,788,92,115,87,75,26,11,68,37,0.76,0.17,0.00,0.07,1.00,700,665,670,,640,802,545,403,0.74,0.26,18372,0.21,0.44,0.27,608
"60456",Hometown,95,138,128,141,125,268,185,121,19,16,27,14,5,4,18,6,1.00,,0.01,,1.00,71,93,77,,69,111,109,68,0.75,0.26,1907,0.37,0.35,0.36,83
"60430",Homewood,622,660,559,593,736,1246,708,560,107,119,101,92,27,20,59,52,0.75,0.15,0.03,0.06,1.00,308,329,339,,289,447,297,281,0.78,0.22,7125,0.23,0.61,0.30,333
"60525",Indian Head Park,198,148,132,155,203,264,133,90,4,11,4,3,3,3,6,2,0.54,0.43,0.00,0.03,1.00,65,64,55,,49,98,56,53,0.87,0.13,1800,0.24,0.21,0.24,58
